x,y,z,roll,pitch,yaw,v
6.568073272705078125e+01,7.808259010314941406e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.729298293590545654e-02,4.493944773117821700e-01
6.568073272705078125e+01,7.808259010314941406e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.729298293590545654e-02,4.493944773117821700e-01
6.568073272705078125e+01,7.808259010314941406e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.729298293590545654e-02,4.493944773117821700e-01
6.568073272705078125e+01,7.808259010314941406e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.729298293590545654e-02,4.493944773117821700e-01
6.570320129394531250e+01,7.808236598968505859e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.730804055929183960e-02,5.109176679131355314e-01
6.570320129394531250e+01,7.808236598968505859e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.730804055929183960e-02,5.109176679131355314e-01
6.570320129394531250e+01,7.808236598968505859e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.730804055929183960e-02,5.109176679131355314e-01
6.572874450683593750e+01,7.808210849761962891e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724694207310676575e-02,5.808631568301997339e-01
6.572874450683593750e+01,7.808210849761962891e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724694207310676575e-02,5.808631568301997339e-01
6.572874450683593750e+01,7.808210849761962891e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724694207310676575e-02,5.808631568301997339e-01
6.572874450683593750e+01,7.808210849761962891e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724694207310676575e-02,5.808631568301997339e-01
6.572874450683593750e+01,7.808210849761962891e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.724694207310676575e-02,5.808631568301997339e-01
6.575778961181640625e+01,7.808181762695312500e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722289904952049255e-02,6.603831770504674514e-01
6.575778961181640625e+01,7.808181762695312500e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722289904952049255e-02,6.603831770504674514e-01
6.575778961181640625e+01,7.808181762695312500e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722289904952049255e-02,6.603831770504674514e-01
6.575778961181640625e+01,7.808181762695312500e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.722289904952049255e-02,6.603831770504674514e-01
6.579080963134765625e+01,7.808148860931396484e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.725758895277976990e-02,7.507905835462247435e-01
6.579080963134765625e+01,7.808148860931396484e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.725758895277976990e-02,7.507905835462247435e-01
6.579080963134765625e+01,7.808148860931396484e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.725758895277976990e-02,7.507905835462247435e-01
6.582834625244140625e+01,7.808111190795898438e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.715488269925117493e-02,8.535756096321429620e-01
6.582834625244140625e+01,7.808111190795898438e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.715488269925117493e-02,8.535756096321429620e-01
6.582834625244140625e+01,7.808111190795898438e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.715488269925117493e-02,8.535756096321429620e-01
6.582834625244140625e+01,7.808111190795898438e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.715488269925117493e-02,8.535756096321429620e-01
6.587102508544921875e+01,7.808068752288818359e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.732442438602447510e-02,9.704283337248991170e-01
6.587102508544921875e+01,7.808068752288818359e+00,5.993707105517387390e-02,0.000000000000000000e+00,3.601553955078125000e+02,-5.732442438602447510e-02,9.704283337248991170e-01
